date,country,location,purpose,president
"July 10–11, 2009",Ghana,"Accra,Cape Coast","Met with President John Atta Mills. Delivered a speech to the Ghanaian Parliament. Toured a former departing point of the trans-Atlantic slave trade, the Cape Coast Castle.[35]",Barack Obama
"August 9–10, 2009",Mexico,Guadalajara,Attended annual North American Leaders' Summit with President Felipe Calderón and Canadian Prime Minister Stephen Harper.[37],Barack Obama
"October 2, 2009",Denmark,Copenhagen,Met with Queen Margrethe II and Prime Minister Lars Løkke Rasmussen. Addressed a session of the International Olympic Committee in support of the Chicago bid for the 2016 Summer Olympics.[38],Barack Obama
"November 13–14, 2009",Japan,Tokyo,"Met with Emperor Akihito and Prime Minister Yukio Hatoyama, and made a speech at the Suntory Hall.[39][40] in Tokyo.[41]",Barack Obama
"November 14–15, 2009",Singapore,Singapore,Attended the APEC summit.[42][43] Also met with Singaporean Prime Minister Lee Hsien Loong and Indonesian President Susilo Bambang Yudhoyono.[41],Barack Obama
"November 15–18, 2009",China,"Shanghai,Beijing","Met with Shanghai Party Secretary Yu Zhengsheng and Mayor Han Zheng.[41] Took part in a town-hall style meeting with Chinese students, addressing a range of issues such as internet censorship and U.S. arms deals with Taiwan.[44][45] Held a bilateral meeting with President Hu Jintao, and met with Premier Wen Jiabao.[41] Also visited the Forbidden City[46] and the Great Wall of China.[47][48]",Barack Obama
"November 18–19, 2009",South Korea,"Seoul, Osan",Met with President Lee Myung-bak.[49][50] Visited with U.S. troops at Osan Air Base.[51],Barack Obama
"December 9–11, 2009",Norway,Oslo,Met with King Harald V and Queen Sonja. Received the Nobel Peace Prize.[52][53],Barack Obama
"December 17–19, 2009",Denmark,Copenhagen,"Attended the United Nations Climate Change Conference. Also met with Chinese Premier Wen Jiabao,[54] and with Russian President Dmitry Medvedev to discuss completing a nuclear disarmament treaty to replace the 1994 START I Treaty.[55]",Barack Obama
"March 27–28, 2010",Afghanistan,"Bagram,Kabul",Met with President Hamid Karzai. Addressed U.S. military personnel.[56],Barack Obama
"April 8, 2010",Czech Republic,Prague,"Signed the New Strategic Arms Reduction Treaty with Russian President Dmitry Medvedev. Also met with the presidents of the Czech Republic, Estonia, Latvia, and Romania; and with the prime ministers of Bulgaria, Croatia, Hungary, Lithuania, Poland, Slovakia, and Slovenia at a formal dinner.[57]",Barack Obama
"June 25–27, 2010",Canada,"Toronto, Huntsville",Attended the 36th G8 summit and the G-20 summit meetings.[58][59],Barack Obama
"November 6–9, 2010",India,"Mumbai,New Delhi","Participated in the U.S.-India Business Council and Entrepreneurship Summit, commemorated the 2008 Mumbai attacks, visited the Mani Bhavan Museum, and held a town hall meeting at St Xavier's College in Mumbai. Met with President Pratibha Patil and Prime Minister Manmohan Singh. Addressed the Indian Parliament. Visited the Humayun's Tomb and the Raj Ghat.[60][61][62][63][64][65][66][67][68]",Barack Obama
"November 9–10, 2010",Indonesia,Jakarta,Met with President Susilo Bambang Yudhoyono. Visited the Istiqlal Mosque and delivered a speech at the University of Indonesia.[69][70][71][72],Barack Obama
"November 10–12, 2010",South Korea,Seoul,Attended a Veterans Day ceremony at the Yongsan Garrison and met with President Lee Myung-bak. Attended the G-20 summit meeting.[73][74][75][76],Barack Obama
"November 12–14, 2010",Japan,"Yokohama, Kamakura",Attended the  APEC summit. Met with Prime Minister Naoto Kan.[77][78],Barack Obama
"November 19–20, 2010",Portugal,Lisbon,"Attend the NATO summit and U.S.-EU Summit meetings. Met with President Aníbal Cavaco Silva and Prime Minister José Sócrates. Attended a meeting of the North Atlantic Council, and met with Georgian President Mikheil Saakashvili on the sidelines.[79][80][81]",Barack Obama
"December 3, 2010",Afghanistan,Bagram,"Met with U.S. military and diplomatic personnel, thanking them for their contributions to the war effort.[82][83]",Barack Obama
"March 19–21, 2011",Brazil,"Brasília,Rio de Janeiro","Met with President Dilma Rousseff. Spoke in Rio de Janeiro at the Theatro Municipal, and also visited the favela Cidade de Deus, one of that city's most impoverished neighborhoods.[84]ref>""Rousseff and Obama Meet in Brasília"". The Rio Times. March 19, 2011. Retrieved April 9, 2011. </ref>[85][86]",Barack Obama
"March 21–22, 2011",Chile,Santiago,"Met with President Sebastián Piñera.ref>Londo, Ernesto (March 22, 2011). ""Obama lauds Latin American democracies as role models for the Middle East"". The Washington Post. Retrieved April 9, 2011. </ref>[87][88]",Barack Obama
"March 22–23, 2011",El Salvador,San Salvador,Met with President Mauricio Funes. Visited the San Salvador Cathedral and the tomb of archbishop Óscar Romero.[89][90][91],Barack Obama
"May 23, 2011",Ireland,"Dublin,Moneygall","Met President Mary McAleese and with Taoiseach Enda Kenny. Visited ancestral home of Moneygall,[92] and spoke at College Green in Dublin.[93][94][95][96]",Barack Obama
"May 23–26, 2011",United Kingdom,London,"Met with Queen Elizabeth II, Prime Minister David Cameron, and also opposition leader Ed Miliband. Laid a wreath on the Tomb of the Unknown Warrior in Westminster Abbey and addressed the UK Parliament.[97][98][99]",Barack Obama
"May 26–27, 2011",France,"Deauville,Paris","Attended the 37th G8 summit, where he also held bilateral talks with Russian president Dmitry Medvedev, Japanese prime minister Naoto Kan, and Ffrench president Nicolas Sarkozy.[100][101][102]",Barack Obama
"May 27–28, 2011",Poland,Warsaw,"Met with President Bronisław Komorowski and Prime Minister Donald Tusk, and with Central and Eastern European leaders during a dinner hosted by President Komorowski. Laid a wreath at both the Tomb of the Unknown Soldier and the Warsaw Ghetto Memorial, and met with Jewish community leaders and Holocaust survivors at the Warsaw Ghetto Memorial. Visited the memorial to the victims of the Smolensk plane crash.[103][104][105][106][107][108]",Barack Obama
"November 3–4, 2011",France,Cannes,"Attended the G-20 summit meeting, also held bilateral talks with French president Nicolas Sarkozy, German chancellor Angela Merkel and President Cristina Fernández de Kirchner of Argentina.[109][110]",Barack Obama
"November 16–17, 2011",Australia,"Canberra,Darwin","Met with Australian Prime Minister Julia Gillard, and addressed the Australian Parliament. At Darwin, commemorated the 60th anniversary of the ANZUS alliance, and participated in a wreath laying ceremony with Prime Minister Gillard at USS Peary Memorial.[111][112][113]",Barack Obama
"November 17–19, 2011",Indonesia,Bali,Attended the 19th ASEAN summit and 6th East Asia Summit meetings.[114][115][116][117][118],Barack Obama
"March 25–27, 2012",South Korea,Seoul,"Attended the Nuclear Security Summit; held bilateral meetings with President Lee Myung-bak of South Korea, Prime Minister Erdogan of Turkey, President Medvedev of Russia, President Nursultan Nazarbayev of Kazakhstan, President Hu Jintao of China and Prime Minister Yousaf Raza Gillani of Pakistan. Visited the Korean Demilitarized Zone, and delivered remarks at Hankuk University of Foreign Studies in Seoul.[119][120][121]",Barack Obama
"April 13–15, 2012",Colombia,Cartagena,"Attended the 6th Summit of the Americas.[122][123][124][125] Announced, along with President Juan Manuel Santos, that the United States–Colombia Free Trade Agreement will take effect May 15, 2012.[126] Attended an event with President Santos in which the Colombian government handed over land titles to representatives of the Afro-Colombian community at the Plaza de San Pedro in Cartagena,[127] andvisited the Spanish colonial-era Castillo San Felipe de Barajas.[128]",Barack Obama
"May 1–2, 2012",Afghanistan,Kabul,Met with President Karzai and addressed U.S. military personnel. Signed a long-term strategic partnership agreement between Afghanistan and United States. Addressed the nation from there regarding the responsible end of the Afghanistan war.[129][130][131],Barack Obama
"June 17–19, 2012",Mexico,Cabo San Lucas,"Attended the G-20 summit meeting; also met with several European heads of state and government to discuss the European sovereign-debt crisis,[132] and held bilateral meetings with Russian President Vladimir Putin, Mexican President Felipe Calderon, German Chancellor Angela Merkel, Chinese President Hu Jintao and Turkish Prime Minister Recep Tayyip Erdogan.[133][134][135]",Barack Obama
"November 18–19, 2012",Thailand,Bangkok,Met with King Bhumibol Adulyadej and Prime Minister Yingluck Shinawatra.[136][137][138][139] Visited the Wat Pho Monastery.[140] [141],Barack Obama
"November 19, 2012",Myanmar (Burma),Yangon,"Met with President Thein Sein, and toured the Shwedagon Pagoda.[142] Met with National League for Democracy leader Aung San Suu Kyi, and representatives of Burmese civil society organizations, including an advocate for Burma's Rohingya population,[143] Also delivered a speech at the University of Yangon.[144][145]",Barack Obama
"November 19–20, 2012",Cambodia,Phnom Penh,Attended 21st ASEAN summit; 7th East Asia Summit where he held bilateral meetings with Japanese Prime Minister Yoshihiko Noda and Chinese Premier Wen Jiabao; and  Trans-Pacific Partnership meetings. Met with Prime Minister Hun Sen.[146][147][148],Barack Obama
"March 20–22, 2013",Israel,"Tel Aviv,Jerusalem","Met with  Israeli President Shimon Peres and Prime Minister Benjamin Netanyahu. Visited the Shrine of the Book and Yad Vashem, and laid wreaths at the graves of Theodor Herzl and Yitzhak Rabin. Also spoke to students at the International Convention Center.[149][150]",Barack Obama
"March 21–22, 2013",Palestinian National Authority (West Bank),"Ramallah,Al-Bireh,Bethlehem","Met with Palestinian President Mahmoud Abbas, and Palestinian Prime Minister Salam Fayyad. Visited a youth center in al-Bireh, and the Church of the Nativity.[150]",Barack Obama
"March 22–23, 2013",Jordan,"Amman,Petra",Met with King Abdullah II.[149],Barack Obama
"May 2–3, 2013",Mexico,Mexico City,"Met with President Enrique Peña Nieto,[151] and gave an address at the National Anthropology Museum.[152]",Barack Obama
"May 3–4, 2013",Costa Rica,San José,Met with President Laura Chinchilla and other heads of state attending the Central American Integration System summit.[153][154],Barack Obama
"June 17–18, 2013",United Kingdom,"Enniskillen,Belfast","Attended the 39th G8 summit in County Fermanagh, Northern Ireland, and held a held a bilateral meeting with Russian President Vladimir Putin. Also spoke to a group of students in Belfast about the legacy of the Northern Ireland peace process and the Good Friday Agreement.",Barack Obama
"June 18–19, 2013",Germany,Berlin,"Met with German President Joachim Gauck and Chancellor Angela Merkel. Delivered a speech in front of the Brandenburg Gate.[155][156] and also met with Peer Steinbrück, the Social Democratic candidate for Chancellor in the 2013 federal election.",Barack Obama
"June 26–28, 2013",Senegal,Dakar,"Met with President Macky Sall,[1] and visited Senegal's supreme court for a meeting with regional judicial leaders. Visited the House of Slaves on Gorée and met with civil society leaders at the Goree Institute. Also met with farmers and other members of Senegal's agriculture sector to discuss food security.[157][158]",Barack Obama
"June 28 – July 1, 2013",South Africa,"Johannesburg,Pretoria,Soweto,Cape Town","Met with President Jacob Zuma. Also met (separately) with African Union Commission Chair Nkosazana Dlamini-Zuma, and with members of the Mandela family. Attended a town hall at the Soweto campus of the University of Johannesburg.[159] Delivered a speech at the University of Cape Town, attended a community health discussion at the Desmond Tutu HIV Foundation Youth Center, and visited Robben Island.[1][160][159]",Barack Obama
"July 1–2, 2013",Tanzania,Dar es Salaam,"Met with President Jakaya Kikwete. Participated in a round-table meeting with American and African business leaders to discuss trade and investment.[160] Laid a wreath at the memorial to the 1998 U.S. embassy bombing.[1]  With the president, in addition to First Lady Michelle Obama, were former president George and former first lady Laura Bush[157][158]",Barack Obama
"July 2, 2013",Senegal,Dakar,Stopped during return to Washington D.C..[1],Barack Obama
"September 4–5, 2013",Sweden,Stockholm,Met with King Carl XVI Gustaf and Prime Minister Fredrik Reinfeldt. Also met with leaders of the Nordic countries. Attended an event honoring Raoul Wallenberg at the Great Synagogue of Stockholm.[161][162],Barack Obama
"September 5–6, 2013",Russia,St. Petersburg,Attended the G-20 summit.[1],Barack Obama
"December 7–10, 2013",South Africa,Johannesburg,"Attended the Nelson Mandela. Former presidents Jimmy Carter, Bill Clinton, and George W. Bush also attended.[163][164][165]",Barack Obama
"February 14, 2014",Mexico,Toluca,Attended the 9th North American Leaders' Summit with President Enrique Peña Nieto and Canadian Prime Minister Stephen Harper.[166],Barack Obama
"March 24–25, 2014",Netherlands,"Amsterdam,Hague","Attended the Nuclear Security Summit. Also attended the G-7 summit on the crisis in Ukraine and the annexation of the Crimea. Met with Prime Minister Mark Rutte, and with King Willem-Alexander.[167][168]",Barack Obama
"March 26–27, 2014",Belgium,"Waregem,Brussels","Attended the U.S.-EU Summit Meeting, and held bilateral meetings with Belgian government officials and with the NATO secretary general.[167] Visited the Flanders Field American Cemetery and Memorial with King Philippe and Prime Minister Elio Di Rupo. Delivered a speech at the Centre for Fine Arts (BOZAR).[169]",Barack Obama
"March 27, 2014",Vatican City,Apostolic Palace,Audience with Pope Francis.[170],Barack Obama
"March 27, 2014",Italy,Rome,Met with President Napolitano and Prime Minister Renzi.[167],Barack Obama
"March 28, 2014",Saudi Arabia,Riyadh,Met with King Abdullah.[171],Barack Obama
"April 23–25, 2014",Japan,Tokyo,"Met with Emperor Akihito and Prime Minister Shinzō Abe.[172][173] Met with students and viewed an ASIMO robot exhibit at the Miraikan and visited the Meiji Shrine,[174]",Barack Obama
"April 25–26, 2014",South Korea,Seoul,"Attended a wreath-laying ceremony at the War Memorial of Korea, visited Gyeongbokgung Palace, then met with President Park Geun-hye. Visited with U.S. troops at Yongsan Garrison.[175][176][177]",Barack Obama
"April 26–28, 2014",Malaysia,Kuala Lumpur,"Met with Prime Minister Najib Razak, and with King Abdul Halim; visited the National Mosque of Malaysia.[178] [179] Delivered remarks at the Malaysian Global Innovation and Creativity Centre and participated in the Young Southeast Asian Leaders Initiative Town Hall meeting at the University of Malaya.[175]",Barack Obama
"April 28–29, 2014",Philippines,"Manila,Taguig","Met with President Benigno Aquino III.[180] Met with American and Filipino troops at Fort Bonifacio,[181] and attended a wreath-laying ceremony and toured the Manila American Cemetery and Memorial.[182]",Barack Obama
"May 25–26, 2014",Afghanistan,Bagram,Visited with U.S. troops.[183],Barack Obama
"June 3–4, 2014",Poland,Warsaw,Met with President Bronisław Komorowski and Prime Minister Donald Tusk. Attended ceremonies marking the 25th anniversary of democracy in Poland. Also met with President-elect Petro Poroshenko of Ukraine.[184],Barack Obama
"June 4–5, 2014",Belgium,Brussels,Attended the 40th G7 summit.[184],Barack Obama
"June 5–6, 2014",France,"Paris,Colleville,Ouistreham",Met with President François Hollande. Attended the 70th anniversary of D-Day memorial ceremonies.[184],Barack Obama
"September 3–4, 2014",Estonia,Tallinn,Met with the presidents of the Baltic states. Visited with U.S. and Estonian members of the military. Delivered a speech at Tallinn Airport with Prime Minister Taavi Rõivas.[1],Barack Obama
"September 4–5, 2014",United Kingdom,Newport,Attended the NATO summit.[185],Barack Obama
"November 10–12, 2014",China,Beijing,"Attended the APEC summit. Met with President Xi Jinping, Premier Li Keqiang and NPC Chairman Zhang Dejiang.[186] Also met with Australian Prime Minister Tony Abbott,[187] and Indonesian President Joko Widodo.[188]",Barack Obama
"November 12–15, 2014",Myanmar (Burma),"Naypyidaw,Yangon",Attended the 25th ASEAN Summit and the 9th East Asia Summit.[189][190] Met with President Thein Sein and National League for Democracy Leader Aung San Suu Kyi.[191][192] Participated in the Young Southeast Asian Leaders Initiative Town Hall meeting at the University of Yangon.[193],Barack Obama
"November 15–16, 2014",Australia,Brisbane,"Attended the G-20 summit.[194] Held a trilateral meeting with Prime Minister Tony Abbott and Japanese Prime Minister Shinzō Abe, and delivered a speech at the University of Queensland regarding youth voice.[195][196]",Barack Obama
"January 25–27, 2015",India,New Delhi,Met with Prime Minister Narendra Modi. Participated in the Indian Republic Day celebration. Addressed an event organized by the U.S.-India Business Council.[197][198],Barack Obama
"January 27, 2015",Saudi Arabia,Riyadh,Met with the newly appointed King Salman. Also paid respects to the late King Abdullah.[199][200],Barack Obama
"April 9–10, 2015",Jamaica,Kingston,Met with Prime Minister Portia Simpson-Miller. Visited the Bob Marley Museum. Attended a town hall meeting at the University of the West Indies. Laid wreath at the National Heroes Park.[201][202],Barack Obama
"April 10–11, 2015",Panama,Panama City,Attended the 7th Summit of the Americas.[203] Also met with President Raúl Castro of Cuba.[204],Barack Obama
"June 7–8, 2015",Germany,Schloss Elmau,Attended the 41st G7 summit.[205] Met with Chancellor Angela Merkel for a traditional Frühschoppen breakfast with the village locals in Krün.[206] Also met with French president François Hollande to discuss the Ukrainian crisis and Iran's nuclear program.[207],Barack Obama
"July 24–26, 2015",Kenya,Nairobi,"State visit. Attended the 2015 Global Entrepreneurship Summit,[208] and an innovation fair organized to promote his ""Power Africa"" initiative of promoting electric power and renewable energy in the Sub-Saharan Africa.[209] Laid a wreath a memorial honoring the victims of the 1998 U.S. embassy bombings.[210] Dined with other members of his paternal family.[211][212] Met with President Uhuru Kenyatta,[213] In the evening, the President was hosted a state dinner by President Kenyatta.[214] and delivered a speech at the Safaricom Indoor Arena.[215]",Barack Obama
"July 26–28, 2015",Ethiopia,Addis Ababa,Met with the government of Ethiopia. Visited the African Union headquarters.[216][217],Barack Obama
"November 14–17, 2015",Turkey,Antalya,"Attended the G-20 summit.the G-20 summit meeting.[218] Also with Turkish president Recep Tayyip Erdoğan, Canadian prime minister Justin Trudeau,[219] King Salman of Saudi Arabia,[220] and with Russian President Vladimir Putin.[221]",Barack Obama
"November 17–20, 2015",Philippines,"Manila,Pasay","Attended the APEC Economic Leaders' Meeting; held bilateral meetings with Philippine President Benigno Aquino III, Japanese Prime Minister Shinzō Abe and newly elected prime ministers Malcolm Turnbull of Australia and Justin Trudeau of Canada,[222][223] as well as meetings with Trans-Pacific Partnership and Pacific Alliance leaders.[224]",Barack Obama
"November 20–22, 2015",Malaysia,Kuala Lumpur,"Attended the 26th ASEAN Summit, and also held separate meetings with Lao prime minister Thongsing Thammavong and Singaporean prime minister Lee Hsien Loong.[225] Attended the 10th East Asia Summit.[225][226] Also met with refugees, many of whom were Rohingya refugees,[227] participated in the Young Southeast Asian Leaders Initiative (YSAELI) town hall at Taylor's University,[228] and met with Malaysian civil society groups.[229]",Barack Obama
"November 29 – December 1, 2015",France,Paris,"Attended the 2015 United Nations Climate Change Conference;[230] held separate bilateral meetings with Chinese president Xi Jinping, Indian prime minister Narendra Modi,[231] and Turkish president Recep Tayyip Erdoğan.[232] Also joined President François Hollande and Paris mayor Anne Hidalgo in paying respects to the victims of the Paris attacks by laying flowers in front of the Bataclan.[233]",Barack Obama
"March 20–22, 2016",Cuba,Havana,"Met with Cardinal Jaime Ortega, the Archbishop of Havana.[234][235] Paid respects to Cuban national hero José Martí during a brief wreath-laying ceremony at his memorial at Havana's Plaza de la Revolución.[236] Met with President Raúl Castro.[237] U.S. Secretaries John Kerry and Penny Pritzker of State and Commerce, respectively, were in attendance, while Vice President Miguel Díaz-Canel and Foreign Minister Bruno Rodríguez Parrilla were among the several Cuban ministers who participated in the discussions.[238] Also attended an event with U.S. and Cuban entrepreneurs,[239][240] addressed the Cuban people on national television,[241] and met with various Cuban dissidents and leaders of civil society organizations.[242] Attended an exhibition baseball game between the Tampa Bay Rays and the Cuba national baseball team at the Estadio Latinoamericano with President Castro.[243]",Barack Obama
"March 23–24, 2016",Argentina,"Buenos Aires,Bariloche",Met with President Mauricio Macri. Laid a wreath at the Buenos Aires Metropolitan Cathedral tomb of Argentine general José de San Martín.[244][245],Barack Obama
"April 20–21, 2016",Saudi Arabia,Riyadh,"Attended a summit meeting with the Gulf Cooperation Council.[246] Met with King Salman, and held an audience with the Saudi royal court.[247]",Barack Obama
"April 21–24, 2016",United Kingdom,"London,Windsor,Watford","Attended a private lunch with Queen Elizabeth II and Prince Philip.[248] Met with British Prime Minister David Cameron,[249] and later with Labour Party and Opposition Leader Jeremy Corbyn.[250] Also participated in town hall meeting with the British youth at Lindley Hall.[251][252]",Barack Obama
"April 24–25, 2016",Germany,Hanover,"Met with German Chancellor Angela Merkel, and other European leaders including British Prime Minister David Cameron, French President François Hollande, and Italian Prime Minister Matteo Renzi.[253] Attended the Hannover Messe.[254]",Barack Obama
